indice_tiempo,total_amba,colectivo_amba,subte_amba,tren_amba
2020-01-01,833160,774164,72180,112267
2020-01-02,3256719,2941242,511136,719232
2020-01-03,3517224,3189868,536129,779038
2020-01-04,2402504,2231075,232491,460891
2020-01-05,1478214,1381083,127770,203694
2020-01-06,3470185,3128048,543433,771588
2020-01-07,3495146,3155792,553337,773865
2020-01-08,3478358,3140755,546992,776059
2020-01-09,3439067,3102208,551974,771103
2020-01-10,3561347,3230721,551782,802187
2020-01-11,2365709,2203095,233528,442599
2020-01-12,1453935,1357190,128084,212369
2020-01-13,3436094,3102726,537425,767169
2020-01-14,3197516,2880576,519193,710393
2020-01-15,3169241,2862087,517225,662197
2020-01-16,3548782,3204902,561236,793932
2020-01-17,3586137,3253800,541901,812866
2020-01-18,2409974,2250199,197352,477356
2020-01-19,1454824,1368252,101496,210334
2020-01-20,3250505,2972548,428750,701020
2020-01-21,3225672,2941783,433795,699566
2020-01-22,3462964,3164928,452305,760902
2020-01-23,3414563,3118735,450568,754859
2020-01-24,3427909,3143003,440591,760372
2020-01-25,2250642,2108373,179852,429901
2020-01-26,1431137,1346408,103512,204393
2020-01-27,3397902,3096800,442972,759503
2020-01-28,3429602,3127197,454479,756664
2020-01-29,3345583,3049117,450519,735367
2020-01-30,3486768,3178859,465182,771040
2020-01-31,3546287,3243216,459544,794180
2020-02-01,2385415,2231375,196308,448703
2020-02-02,1450377,1369764,103537,189004
2020-02-03,3393579,3062297,531629,769954
2020-02-04,3426304,3094851,541188,763573
2020-02-05,3484271,3152378,551184,772402
2020-02-06,3463181,3132995,551675,772279
2020-02-07,3380997,3063696,541845,759137
2020-02-08,2513239,2340200,248893,469835
2020-02-09,1570069,1466148,139777,223128
2020-02-10,3692958,3339221,572371,830682
2020-02-11,3483290,3071927,613573,832963
2020-02-12,3770459,3409967,607412,847168
2020-02-13,3767086,3410186,594862,838335
2020-02-14,3840781,3496312,587572,851506
2020-02-15,2492846,2314426,249134,488689
2020-02-16,1440421,1343880,129724,207789
2020-02-17,3477437,3138657,562555,764252
2020-02-18,3825638,3473550,590904,834492
2020-02-19,3866824,3498194,615562,859757
2020-02-20,3847050,3484771,602950,841328
2020-02-21,3894624,3535034,597057,868115
2020-02-22,2499651,2320156,244534,484115
2020-02-23,1558266,1453901,140582,220437
2020-02-24,1650469,1529185,160708,282156
2020-02-25,1596850,1481128,146881,267602
2020-02-26,3890634,3519028,603603,862241
2020-02-27,3876652,3500803,618367,858127
2020-02-28,3969000,3601221,625069,880417
2020-02-29,2615847,2426503,267587,494149
2020-03-01,1544814,1443868,138446,203648
2020-03-02,3979644,3614028,600301,828547
2020-03-03,4048321,3677845,620704,834473
2020-03-04,4089524,3712376,631391,854225
2020-03-05,4175043,3794900,648779,874806
2020-03-06,4270198,3904370,642675,886728
2020-03-07,2747512,2549059,286495,531253
2020-03-08,1558718,1487483,146363,38214
2020-03-09,4183519,3773231,706371,900832
2020-03-10,4342731,3950136,668245,879948
2020-03-11,3604236,3274370,597087,717821
2020-03-12,4480298,4104566,641434,867412
2020-03-13,4438346,4081380,608112,877560
2020-03-14,1894644,1765229,190204,335365
2020-03-15,1288394,1217017,96872,159761
2020-03-16,2906241,2677895,358404,597311
2020-03-17,2304512,2139405,264685,458503
2020-03-18,2086701,1957959,203162,366762
2020-03-19,1895083,1833727,105581,234926
2020-03-20,771745,753861,20358,69314
2020-03-21,466313,457388,9359,35957
2020-03-22,234276,229813,5072,17221
2020-03-23,289893,284227,5676,23024
2020-03-24,262962,258003,4848,18542
2020-03-25,489782,477344,15573,47071
2020-03-26,487244,475249,15037,46084
2020-03-27,664179,650450,15099,52959
2020-03-28,437234,428942,7994,29120
2020-03-29,240399,236606,4288,14189
2020-03-30,525076,513545,13556,41815
2020-03-31,365101,358903,6202,23011
2020-04-01,591137,578664,15876,45990
2020-04-02,622586,610052,15549,44482
2020-04-03,795200,780544,17530,51507
2020-04-04,576231,567353,9523,31176
2020-04-05,327913,323173,5215,16186
2020-04-06,735397,719675,18656,55060
2020-04-07,747620,732266,18318,53128
2020-04-08,777558,761590,19189,55127
2020-04-09,637390,625215,14246,44184
2020-04-10,383790,377477,7089,22191
2020-04-11,489291,480975,9277,29787
2020-04-12,285994,281426,5262,15198
2020-04-13,781545,761625,22842,72455
2020-04-14,801978,782552,21926,68095
2020-04-15,835155,814113,23524,71875
2020-04-16,821149,800443,24008,70527
2020-04-17,862681,840692,25236,75882
2020-04-18,552206,541224,11785,39771
2020-04-19,295576,290498,6085,17392
2020-04-20,852876,829587,26779,78691
2020-04-21,846665,824027,26606,75366
2020-04-22,881295,857200,28030,80518
2020-04-23,880562,857397,27742,78647
2020-04-24,871275,848002,29232,79217
2020-04-25,513927,503281,12988,38101
2020-04-26,319222,313630,6418,18556
2020-04-27,867492,842805,30977,84194
2020-04-28,677731,660293,26360,62515
2020-04-29,986198,959755,32570,87238
2020-04-30,993713,965707,34980,90980
2020-05-01,403044,394879,8582,27234
2020-05-02,633879,620037,14270,46753
2020-05-03,337856,331427,6925,20137
2020-05-04,938896,911340,34345,91577
2020-05-05,971314,944037,33581,88928
2020-05-06,1016401,987339,35374,93671
2020-05-07,1036522,1006746,35748,95434
2020-05-08,1131709,1100456,37764,102875
2020-05-09,733270,716761,16630,55016
2020-05-10,379551,372196,7889,22468
2020-05-11,1081341,1048508,38379,110023
2020-05-12,1080122,1047612,38343,106318
2020-05-13,1103776,1070108,39612,110252
2020-05-14,1100332,1067123,40211,106392
2020-05-15,1168487,1133634,41302,116524
2020-05-16,757102,738269,18154,64476
2020-05-17,388394,380378,8379,24752
2020-05-18,1112982,1076935,42052,118097
2020-05-19,1106759,1071954,40875,113912
2020-05-20,1093649,1059097,41569,113398
2020-05-21,1029944,998075,40617,105167
2020-05-22,1106900,1072864,42341,114028
2020-05-23,755431,736117,18674,66009
2020-05-24,368825,361093,8349,23630
2020-05-25,341359,328683,9927,31631
2020-05-26,1022321,989366,38122,107003
2020-05-27,1026707,994012,38140,105940
2020-05-28,1038658,1005759,38834,105791
2020-05-29,1102787,1069189,39472,109835
2020-05-30,665194,649190,15173,53747
2020-05-31,339937,333047,7624,20769
2020-06-01,999628,967759,37033,104905
2020-06-02,1002044,969701,37410,104297
2020-06-03,1015116,982005,38283,108200
2020-06-04,1021721,988987,38333,106375
2020-06-05,1115942,1081587,40823,115941
2020-06-06,731791,714013,17632,60141
2020-06-07,371898,363577,8297,28513
2020-06-08,1089003,1054091,41291,116751
2020-06-09,1102637,1067925,40730,114315
2020-06-10,1126874,1091394,41223,115422
2020-06-11,1144576,1108340,42725,118019
2020-06-12,1195208,1158148,43412,124140
2020-06-13,783203,764012,19182,65059
2020-06-14,374391,366503,8446,24685
2020-06-15,514791,501610,12586,43963
2020-06-16,1151535,1114851,42700,123467
2020-06-17,1109318,1074797,40806,114411
2020-06-18,1072703,1039701,40117,110201
2020-06-19,1081861,1048929,37357,111105
2020-06-20,655690,640005,13624,53153
2020-06-21,355165,347745,8031,22915
2020-06-22,973778,943726,36187,99744
2020-06-23,954031,925050,36135,97669
2020-06-24,1013204,982225,36732,103568
2020-06-25,1040409,1009231,37331,101663
2020-06-26,1075657,1044517,37714,103968
2020-06-27,722416,704535,17348,60844
2020-06-28,357557,349296,8203,27007
2020-06-29,973262,942454,35181,102429
2020-06-30,884455,857281,35410,94747
2020-07-01,712394,687689,27694,84886
2020-07-02,742189,716117,29301,92779
2020-07-03,834340,806499,31474,100365
2020-07-04,564340,550344,14750,49522
2020-07-05,298963,291898,7396,24787
2020-07-06,843864,814750,32704,104493
2020-07-07,848270,819810,32817,103476
2020-07-08,916772,886423,34032,112400
2020-07-09,451293,439619,11404,42859
2020-07-10,508659,495582,13049,46865
2020-07-11,576852,562650,15030,51653
2020-07-12,306220,299117,7653,23802
2020-07-13,908085,877501,34305,114805
2020-07-14,893690,863814,33185,112957
2020-07-15,921511,891010,34385,113345
2020-07-16,890929,862026,33684,105770
2020-07-17,1022825,990625,35742,123340
2020-07-18,660452,643625,16488,64211
2020-07-19,356246,348627,8457,25198
2020-07-20,1003418,969671,37091,127018
2020-07-21,963185,930470,36544,122419
2020-07-22,971686,938170,37292,125183
2020-07-23,934802,903713,36795,117808
2020-07-24,1021099,987035,39369,127837
2020-07-25,712594,696814,17959,57244
2020-07-26,365833,357788,8603,27251
2020-07-27,1012016,976262,39145,132654
2020-07-28,997701,963717,38561,122098
2020-07-29,1002939,968324,39578,128974
2020-07-30,1005860,970219,39712,131818
2020-07-31,1055472,1019875,41350,130070
2020-08-01,760317,740587,19802,70668
2020-08-02,372487,364245,8960,26624
2020-08-03,1037744,1002947,41573,127463
2020-08-04,1033061,999336,41266,119478
2020-08-05,1092238,1057453,42397,123594
2020-08-06,1048749,1013086,42079,130512
2020-08-07,1051207,1016424,42959,134096
2020-08-08,781113,760529,20724,72092
2020-08-09,379100,370661,9107,26812
2020-08-10,1117080,1078423,43634,141583
2020-08-11,1117232,1078613,44657,142147
2020-08-12,1121739,1083922,44413,136552
2020-08-13,1126357,1089065,44744,134539
2020-08-14,1203782,1162481,46471,153523
2020-08-15,872603,849368,22151,81333
2020-08-16,418607,409078,10028,30035
2020-08-17,520194,506114,14105,47636
2020-08-18,1173867,1135372,39795,150650
2020-08-19,1141500,1103085,44039,142750
2020-08-20,1136034,1097697,45135,141301
2020-08-21,1229132,1189003,47224,147562
2020-08-22,850888,827939,22544,81326
2020-08-23,424949,414926,10241,32137
2020-08-24,1178914,1138171,46143,149006
2020-08-25,1111567,1073695,45819,136196
2020-08-26,1086891,1048455,45751,139556
2020-08-27,1190455,1148310,49463,152451
2020-08-28,1238782,1199849,47277,147566
2020-08-29,794093,773351,22389,75277
2020-08-30,442215,432082,11064,31991
2020-08-31,1198000,1156253,50798,152451
2020-09-01,1167992,1128983,49178,141399
2020-09-02,923007,893336,43705,112424
2020-09-03,1208018,1168905,52163,141710
2020-09-04,1258413,1207182,60130,165112
2020-09-05,948827,923901,26732,84142
2020-09-06,463950,454047,11844,29689
2020-09-07,1266508,1222998,51882,161135
2020-09-08,1278369,1234347,52106,161541
2020-09-09,1264195,1221455,52016,155384
2020-09-10,1278580,1235247,52526,155687
2020-09-11,1336592,1290626,53588,170834
2020-09-12,939287,912430,27303,92456
2020-09-13,485604,474362,12593,33595
2020-09-14,1290059,1245853,53340,161016
2020-09-15,1304785,1259177,54650,168015
2020-09-16,1322489,1274975,54490,172081
2020-09-17,1327881,1280063,57992,169010
2020-09-18,1409936,1361657,57867,172557
2020-09-19,993703,964739,29137,99069
2020-09-20,512547,499813,13434,37682
2020-09-21,1310242,1263276,54682,168541
2020-09-22,1325472,1277802,55992,171513
2020-09-23,1343602,1293545,57219,178109
2020-09-24,1340187,1290691,57388,178112
2020-09-25,1320365,1273976,58219,169411
2020-09-26,777863,757404,24689,69128
2020-09-27,464338,452916,12618,37150
2020-09-28,1321272,1273146,55228,177204
2020-09-29,1373810,1323751,59757,177561
2020-09-30,1387058,1336699,59602,181532
2020-10-01,1379201,1328019,61401,183084
2020-10-02,1167292,1095345,66649,193443
2020-10-03,1018470,987180,32289,101254
2020-10-04,503907,491745,13529,37764
2020-10-05,1392333,1339833,61598,189478
2020-10-06,1446670,1391895,62763,198513
2020-10-07,1479478,1421780,66174,207020
2020-10-08,1496165,1438119,65240,210433
2020-10-09,1566472,1511163,67544,203124
2020-10-10,1146603,1112630,35825,117857
2020-10-11,558495,545320,15164,38102
2020-10-12,723225,702297,21603,66403
2020-10-13,1545421,1485325,68392,221827
2020-10-14,1550770,1489875,69885,219534
2020-10-15,1545104,1486171,67581,213347
2020-10-16,1660266,1597303,72962,229832
2020-10-17,1179846,1143754,38198,126475
2020-10-18,660777,645119,18418,47408
2020-10-19,1383114,1328732,64198,200463
2020-10-20,1309770,1262685,62136,175096
2020-10-21,1526855,1469233,70005,210409
2020-10-22,1292412,1244295,62339,177909
2020-10-23,1627958,1566586,76284,229548
2020-10-24,1160881,1126224,38703,120717
2020-10-25,485828,473612,14301,39587
2020-10-26,1560686,1498871,70709,225156
2020-10-27,1578478,1515881,73451,222973
2020-10-28,1527255,1465968,72305,221337
2020-10-29,1589591,1523228,79528,236235
2020-10-30,1679351,1611779,82038,240966
2020-10-31,1228792,1188963,42128,131463
2020-11-01,669613,652376,19605,49907
2020-11-02,1606872,1539745,74049,253694
2020-11-03,1628039,1556605,76885,268659
2020-11-04,1655693,1582443,79137,275819
2020-11-05,1723640,1650010,81868,276346
2020-11-06,1769592,1693465,84025,293793
2020-11-07,1312867,1267353,47741,157699
2020-11-08,719863,699810,22790,60350
2020-11-09,1685833,1610696,81733,292105
2020-11-10,1744406,1667538,84879,290744
2020-11-11,1766830,1686977,84219,302894
2020-11-12,1767770,1687490,86047,302808
2020-11-13,1874922,1793704,88014,316785
2020-11-14,1320433,1275069,47858,165225
2020-11-15,751804,730414,23315,66493
2020-11-16,1778424,1699073,84296,306623
2020-11-17,1799473,1716099,92144,313280
2020-11-18,1802522,1720934,87507,311333
2020-11-19,1841888,1756979,97256,317124
2020-11-20,1952108,1866511,96228,324940
2020-11-21,1434303,1383429,52618,178070
2020-11-22,796016,771020,25286,75343
2020-11-23,881470,851699,28690,100759
2020-11-24,1830160,1746169,92900,321784
2020-11-25,1712605,1637289,89460,282849
2020-11-26,1858015,1774529,96406,311986
2020-11-27,1970946,1882186,97804,338530
2020-11-28,1276111,1231346,48137,164680
2020-11-29,782876,759283,24753,69835
2020-11-30,1898629,1814605,87950,332516
2020-12-01,1930469,1841728,98360,335197
2020-12-02,1896880,1809124,99821,329509
2020-12-03,1974350,1879496,112710,343724
2020-12-04,2183561,2084645,118029,372258
2020-12-05,1649552,1587682,68275,214802
2020-12-06,908154,876363,32698,90733
2020-12-07,1099513,1056014,42361,144885
2020-12-08,986262,947657,35943,126997
2020-12-09,2095048,1993692,120632,372949
2020-12-10,2062038,1960177,126129,358114
2020-12-11,2135498,2036952,120500,364030
2020-12-12,1625378,1563513,68628,216392
2020-12-13,823428,797430,29319,77286
2020-12-14,2107217,2007780,114465,366497
2020-12-15,2104071,2006354,113578,357511
2020-12-16,2176675,2075200,121442,367906
2020-12-17,2166622,2065836,122889,362414
2020-12-18,2303689,2199558,132514,384289
2020-12-19,1747661,1681751,78866,231152
2020-12-20,1028577,994112,37786,102134
2020-12-21,2317521,2207901,135265,402948
2020-12-22,2265375,2209124,120009,155614
2020-12-23,2376265,2267274,134575,402019
2020-12-24,1471333,1412027,61881,203024
2020-12-25,455865,438204,16906,45608
2020-12-26,1283424,1235376,54315,161452
2020-12-27,830454,802848,30140,81639
2020-12-28,1986911,1892216,115113,343919
2020-12-29,2007398,1908979,127776,343119
2020-12-30,2039353,1947896,113431,336003
2020-12-31,1364596,1312297,55612,175855
2021-01-01,446948,430570,16309,39184
2021-01-02,1146120,1102302,48221,150129
2021-01-03,768876,741912,28609,81209
2021-01-04,1865176,1776224,103804,327549
2021-01-05,1906168,1816711,105293,326448
2021-01-06,1935667,1844906,106395,330459
2021-01-07,1942574,1852219,107921,329156
2021-01-08,1963632,1867991,108995,349715
2021-01-09,1448588,1393577,60466,189944
2021-01-10,819969,792973,29527,80366
2021-01-11,1525931,1457210,88265,257960
2021-01-12,1999057,1904910,109495,355111
2021-01-13,1977664,1883634,108080,349730
2021-01-14,1974803,1881280,107469,344387
2021-01-15,1917158,1829057,105089,338036
2021-01-16,1392899,1340946,57578,179230
2021-01-17,866217,835267,31937,90166
2021-01-18,1955775,1863158,105606,347023
2021-01-19,1940386,1848124,107376,341304
2021-01-20,1946414,1859398,107976,326099
2021-01-21,1943287,1853131,106952,330095
2021-01-22,2035920,1944641,110712,343737
2021-01-23,1447209,1392717,61034,188590
2021-01-24,815814,787623,30072,86778
2021-01-25,1836308,1753709,96619,325709
2021-01-26,1849332,1762262,102947,324906
2021-01-27,1942516,1850465,108782,341285
2021-01-28,1896477,1807271,111758,329346
2021-01-29,1960889,1873920,110732,332583
2021-01-30,1231773,1186573,53872,156285
2021-01-31,777143,751771,28783,73846
2021-02-01,1805369,1721907,104095,313303
2021-02-02,1978221,1883193,114376,347321
2021-02-03,2014227,1927712,100165,352250
2021-02-04,2079873,1979900,119409,361385
2021-02-05,2225175,2126031,118151,379433
2021-02-06,1623033,1560689,69546,219005
2021-02-07,927655,894640,35324,100372
2021-02-08,2016190,1918885,114948,360292
2021-02-09,2079727,1977501,121445,370959
2021-02-10,2073606,1974618,124821,359711
2021-02-11,2084686,1983135,126729,362380
2021-02-12,2219427,2116596,128274,383913
2021-02-13,1537321,1476014,69775,212600
2021-02-14,925403,892055,38403,95997
2021-02-15,1059321,1015874,43615,141143
2021-02-16,1047440,1005684,41838,136550
2021-02-17,2249204,2139144,130657,396863
2021-02-18,2235860,2127484,136674,385651
2021-02-19,2323246,2214952,135214,388482
2021-02-20,1652843,1587372,75616,209865
2021-02-21,941645,906298,39522,94741
2021-02-22,1924217,1834500,117549,311723
2021-02-23,2273928,2162983,136470,390443
2021-02-24,2293508,2181082,136529,395086
2021-02-25,2276220,2164267,141828,388874
2021-02-26,2312559,2195752,141985,398736
2021-02-27,1692878,1623327,79238,226199
2021-02-28,972892,937234,39293,100750
2021-03-01,2298154,2189522,132720,385152
2021-03-02,2336046,2223977,138530,380860
2021-03-03,2384725,2267949,144779,403014
2021-03-04,2392609,2289246,117119,402254
2021-03-05,2577983,2456695,152573,435379
2021-03-06,1833513,1759101,84730,247446
2021-03-07,1053351,1013019,43668,116901
2021-03-08,2462535,2341487,159874,412661
2021-03-09,2523609,2398289,155526,423173
2021-03-10,2566393,2439205,159164,427801
2021-03-11,2549441,2423097,159008,422535
2021-03-12,2643504,2515451,163775,444089
2021-03-13,1825584,1749728,87266,253359
2021-03-14,1032367,992392,45114,109631
2021-03-15,2530286,2404738,154583,427951
2021-03-16,2412987,2294102,153914,399402
2021-03-17,2456052,2332390,162339,417315
2021-03-18,2622095,2488102,180635,441402
2021-03-19,2711858,2581361,169312,447868
2021-03-20,1464373,1407535,74094,180108
2021-03-21,1066220,1024672,48116,109867
2021-03-22,2599935,2468687,162130,444360
2021-03-23,2664979,2530784,170010,451656
2021-03-24,1320067,1261169,68137,179101
2021-03-25,1935197,1838151,142238,318373
2021-03-26,2597848,2473168,168183,425027
2021-03-27,1698665,1627818,84475,226485
2021-03-28,1009274,970608,44168,104248
2021-03-29,2564123,2437863,163031,430273
2021-03-30,2584702,2453714,163225,440267
2021-03-31,2640665,2507300,171796,453256
2021-04-01,1897042,1810327,93790,320906
2021-04-02,1096397,1047968,50609,137428
2021-04-03,1640059,1590370,36877,215376
2021-04-04,994485,960942,40102,96122
2021-04-05,2519303,2408107,152954,381004
2021-04-06,2527231,2405029,155103,419890
2021-04-07,2508669,2388379,151225,412532
2021-04-08,2446996,2328514,159902,402601
2021-04-09,2111843,2017057,128940,338197
2021-04-10,1314979,1268144,57150,164728
2021-04-11,769265,742697,32314,77821
2021-04-12,2280119,2177718,129744,358310
2021-04-13,2265916,2163294,131643,355181
2021-04-14,2224924,2125379,129922,351601
2021-04-15,2203367,2103843,130540,342207
2021-04-16,2195965,2096015,127509,349409
2021-04-17,1349725,1297199,56846,174856
2021-04-18,688259,664476,25578,68225
2021-04-19,1898189,1806890,112633,326777
2021-04-20,1960289,1866094,118767,328854
2021-04-21,1977571,1881494,119563,333901
2021-04-22,1963964,1870196,120143,323591
2021-04-23,2021897,1927208,122288,334102
2021-04-24,1313202,1263345,56485,165426
2021-04-25,733576,708265,26984,73015
2021-04-26,1939968,1845448,116907,327393
2021-04-27,1984001,1886649,122538,337931
2021-04-28,2003146,1904835,122121,340129
2021-04-29,2001124,1903041,122164,336148
2021-04-30,2086486,1986421,125153,353641
2021-05-01,905707,871003,31417,108048
2021-05-02,729591,704084,24717,75303
2021-05-03,1844099,1759279,104433,313449
2021-05-04,1956250,1866134,110115,323159
2021-05-05,2073287,1979295,112858,339838
2021-05-06,2040554,1947231,114347,334377
2021-05-07,2102176,2008962,116692,344379
2021-05-08,1510459,1451575,60517,199818
2021-05-09,771875,745027,26424,80376
2021-05-10,2065530,1971622,115701,340724
2021-05-11,2059559,1966091,116835,330532
2021-05-12,2092142,1994974,119159,343065
2021-05-13,2082039,1985162,119713,345633
2021-05-14,2173129,2082130,122491,330468
2021-05-15,1515592,1458217,61476,194194
2021-05-16,786006,758788,28053,78829
2021-05-17,2048597,1953790,116084,341003
2021-05-18,2063193,1968593,115645,343524
2021-05-19,2080388,1983592,117762,347839
2021-05-20,2078254,1981973,121499,343535
2021-05-21,1971594,1884602,122484,326669
2021-05-22,779209,754660,27558,96705
2021-05-23,437161,424356,13359,44471
2021-05-24,726004,699881,24101,94653
2021-05-25,593986,572147,19955,74424
2021-05-26,1506321,1438043,78433,258100
2021-05-27,1521345,1452406,78834,254947
2021-05-28,1611741,1539584,82871,271222
2021-05-29,1076262,1038133,37388,138253
2021-05-30,575322,556249,18056,60015
2021-05-31,1921665,1834142,107941,318600
2021-06-01,1942633,1852424,112817,328363
2021-06-02,2023607,1927801,117896,342534
2021-06-03,2041262,1944103,121739,343384
2021-06-04,2143072,2046738,123508,357932
2021-06-05,1238541,1195028,44378,155113
2021-06-06,679267,656353,24525,70580
2021-06-07,2095582,1998318,121130,354976
2021-06-08,2104732,2006174,123124,353371
2021-06-09,2064564,1968676,123008,347172
2021-06-10,2134583,2035490,127417,352981
2021-06-11,2235793,2132739,136250,381644
2021-06-12,1471640,1414994,58666,197390
2021-06-13,811017,782001,29303,82478
2021-06-14,2153280,2052967,127891,364285
2021-06-15,2187158,2084554,131354,363838
2021-06-16,2281796,2178433,130778,364626
2021-06-17,2307015,2203262,135405,363218
2021-06-18,2435212,2324513,156602,394598
2021-06-19,1677813,1616478,71459,205901
2021-06-20,859032,828590,32648,84845
2021-06-21,914810,880537,37664,108283
2021-06-22,2395851,2287631,137628,380885
2021-06-23,2321282,2216069,136750,368963
2021-06-24,2257821,2154982,138148,354413
2021-06-25,2498955,2386906,147392,398220
2021-06-26,1592490,1526488,74442,227137
2021-06-27,767277,740586,32237,73598
2021-06-28,2217201,2114888,135378,356585
2021-06-29,2262025,2158718,135790,359617
2021-06-30,2320621,2215082,138882,363236
2021-07-01,2374807,2265773,145154,373541
2021-07-02,2509298,2397001,153489,398886
2021-07-03,1785491,1712792,82661,242526
2021-07-04,1001034,963839,40815,102669
2021-07-05,2502793,2390221,147657,395679
2021-07-06,2501561,2386714,152503,392635
2021-07-07,2361643,2255210,148374,369159
2021-07-08,2691003,2576135,173282,394815
