indice_tiempo,total_amba,colectivo_amba,subte_amba,tren_amba
2021-07-09,1369110,1308834,66246,184441
2021-07-10,1739733,1665368,85208,239961
2021-07-11,1001823,962294,42953,110080
2021-07-12,2282956,2175840,149132,355900
2021-07-13,2506515,2388267,159826,394705
2021-07-14,2486747,2369036,161725,391219
2021-07-15,2583915,2473006,171124,350720
2021-07-16,2700233,2574006,179240,420974
2021-07-17,1823179,1742414,99647,256053
2021-07-18,946803,906647,49764,100764
2021-07-19,2311270,2196479,154977,394364
2021-07-20,2462990,2340191,170262,406680
2021-07-21,2395552,2274736,163348,402315
2021-07-22,2414833,2295135,166297,402334
2021-07-23,2524719,2400652,174434,425729
2021-07-24,1776242,1699158,98443,244361
2021-07-25,928841,890671,49251,98081
2021-07-26,2340185,2221045,160881,405275
2021-07-27,2320395,2200718,163457,400659
2021-07-28,2309211,2190593,168254,390860
2021-07-29,2340182,2219752,167747,395167
2021-07-30,2485030,2361168,175676,420409
2021-07-31,1868161,1788381,106787,235022
2021-08-01,1108671,1064183,59230,101803
2021-08-02,2604437,2474047,174196,426812
2021-08-03,2669130,2536159,179736,426506
2021-08-04,2720146,2583753,185511,433014
2021-08-05,2743802,2604268,200968,443474
2021-08-06,2893313,2751045,198829,480981
2021-08-07,2078492,1977466,137083,311901
2021-08-08,821429,787498,44213,88369
2021-08-09,2342401,2219109,174849,384634
2021-08-10,2794020,2653138,197161,445162
2021-08-11,2852183,2707376,202278,456248
2021-08-12,2863108,2715306,204858,463821
2021-08-13,2961278,2809841,213149,490715
2021-08-14,2079968,1984866,124050,289683
2021-08-15,1213136,1159560,71863,129286
2021-08-16,1237852,1177868,70525,158877
2021-08-17,2892212,2740623,208159,471968
2021-08-18,2948116,2789870,233432,490204
2021-08-19,2739930,2593415,209337,438740
2021-08-20,3042765,2885002,223827,496658
2021-08-21,1991740,1898623,120183,282645
2021-08-22,1195257,1139784,67608,133884
2021-08-23,2845435,2694074,208250,462942
2021-08-24,2895759,2738944,217131,472578
2021-08-25,2929298,2772632,217045,478965
2021-08-26,2927735,2768420,220952,481003
2021-08-27,3006381,2845584,234405,501352
2021-08-28,2022402,1924391,125893,295341
2021-08-29,1207640,1151414,68810,138212
2021-08-30,2899362,2745014,212817,477802
2021-08-31,2955989,2795235,221962,483445
2021-09-01,2648067,2502873,217848,427700
2021-09-02,2703378,2551013,222979,438777
2021-09-03,3113741,2946012,246492,522061
2021-09-04,2022947,1923982,130307,294279
2021-09-05,1183016,1127450,71375,133304
2021-09-06,3077378,2910085,232645,508594
2021-09-07,2636888,2492861,221971,409226
2021-09-08,2365986,2226685,216660,390191
2021-09-09,2920216,2758727,245232,467964
2021-09-10,3137820,2964997,260434,520845
2021-09-11,2092804,1985088,135510,313285
2021-09-12,325340,311166,279,17590
2021-09-13,2965678,2798821,234512,498055
2021-09-14,3198541,3020387,250501,519199
2021-09-15,3234522,3059614,255646,508419
2021-09-16,3211951,3038162,259502,526721
2021-09-17,3320851,3135432,273867,552516
2021-09-18,2202323,2086700,149333,335921
2021-09-19,1242796,1182535,80625,139294
2021-09-20,3080523,2906699,248709,504927
2021-09-21,3018901,2836806,269642,531132
2021-09-22,3157320,2978268,259683,509683
2021-09-23,3201989,3017260,267251,524849
2021-09-24,3321078,3131997,280384,561702
2021-09-25,2183669,2070801,146869,330630
2021-09-26,1319767,1253306,85774,155026
2021-09-27,3020276,2846540,245803,512077
2021-09-28,3118951,2938140,261882,518329
2021-09-29,3251447,3060345,269171,548633
2021-09-30,2873002,2699220,262088,487569
2021-10-01,3392782,3197223,289493,575658
2021-10-02,2052528,1943077,145504,310660
2021-10-03,1273486,1207603,86137,142826
2021-10-04,3266567,3072907,269127,558675
2021-10-05,3395610,3191969,290767,578180
2021-10-06,3407560,3199105,298100,586746
2021-10-07,3207444,2995661,319955,601982
2021-10-08,1952502,1836546,143453,316861
2021-10-09,2164982,2037807,164637,353924
2021-10-10,1284920,1213935,99841,152226
2021-10-11,1253183,1182277,88025,178561
2021-10-12,3338458,3133836,292410,581335
2021-10-13,3287482,3085579,294221,562338
2021-10-14,3403818,3193473,316869,571976
2021-10-15,3554433,3341481,315842,609363
2021-10-16,2407016,2271740,174811,381776
2021-10-17,1366569,1290661,103287,167234
2021-10-18,3279051,3067714,309959,578936
2021-10-19,3404292,3195317,298746,572145
2021-10-20,3436068,3222705,307427,587334
2021-10-21,3436004,3224327,310240,582415
2021-10-22,3393307,3188117,310427,582535
2021-10-23,2215515,2090023,173477,335541
2021-10-24,1381999,1308212,97394,163818
2021-10-25,3341115,3134050,291946,581429
2021-10-26,3398207,3186061,307927,583674
2021-10-27,3369455,3164089,304129,576433
2021-10-28,3347373,3134863,317026,575518
2021-10-29,3472473,3272746,314795,574042
2021-10-30,2282037,2166837,144552,350424
2021-10-31,1295512,1230387,89666,145382
2021-11-01,3317010,3108937,300682,564622
2021-11-02,3264052,3054593,309844,562253
2021-11-03,3431845,3215206,322172,587876
2021-11-04,3511368,3285970,337550,606210
2021-11-05,3608246,3386772,338891,631151
2021-11-06,2466208,2306066,239353,407171
2021-11-07,1438749,1362079,103695,171283
2021-11-08,3443056,3221945,317154,613841
2021-11-09,3542540,3316513,327114,619227
2021-11-10,3603588,3374396,335651,630911
2021-11-11,3594980,3366510,341669,615916
2021-11-12,3651355,3427524,340139,644585
2021-11-13,2305944,2170521,178100,383203
2021-11-14,275305,261730,141,16687
2021-11-15,3393317,3179227,313036,611303
2021-11-16,3389377,3173606,318363,589240
2021-11-17,3603059,3366243,362093,633242
2021-11-18,3600206,3372840,348574,617438
2021-11-19,3638390,3410738,346136,650474
2021-11-20,2165995,2026169,189633,354604
2021-11-21,1343324,1269337,104218,165475
2021-11-22,1328675,1252170,99342,190830
2021-11-23,3530834,3296114,363670,644467
2021-11-24,3526658,3297802,341655,622039
2021-11-25,3222792,3007181,343658,570366
2021-11-26,3626645,3397048,353412,648045
2021-11-27,2311521,2175404,186463,373351
2021-11-28,918870,871544,70892,103653
2021-11-29,3351227,3133975,320101,611147
2021-11-30,3505819,3278396,337104,630517
2021-12-01,3518428,3285222,347977,640815
2021-12-02,3505253,3265378,366887,641601
2021-12-03,3588385,3354233,360945,658302
2021-12-04,2426105,2272213,235557,400575
2021-12-05,1315281,1238443,107096,155927
2021-12-06,3455694,3219478,353028,654207
2021-12-07,3609749,3358129,394944,692440
2021-12-08,1771810,1665175,140925,264630
2021-12-09,3520089,3272338,386583,673632
2021-12-10,2877388,2603646,399482,435984
2021-12-11,2445020,2306986,228419,348068
2021-12-12,1317753,1251743,100681,114597
2021-12-13,3388566,3152308,358347,644883
2021-12-14,3409122,3169922,362964,641997
2021-12-15,3442572,3204719,372564,633922
2021-12-16,3475043,3244152,377961,599097
2021-12-17,3556143,3316766,385809,656780
2021-12-18,2580685,2423120,236920,422703
2021-12-19,1527448,1440483,129005,176697
2021-12-20,3326265,3081919,406706,683329
2021-12-21,3368926,3129077,377931,659869
2021-12-22,3393735,3161484,372186,646002
2021-12-23,3257761,3041656,340131,615424
2021-12-24,1929621,1819351,144439,306605
2021-12-25,681257,643175,48631,72901
2021-12-26,1086312,1027551,84295,124266
2021-12-27,2698798,2515119,274014,539471
2021-12-28,2732600,2552150,275212,521754
2021-12-29,2706143,2536911,262208,519144
2021-12-30,2654198,2491268,250374,498958
2021-12-31,1610410,1522696,113829,250346
2022-01-01,553019,522889,38801,58537
2022-01-02,994497,942574,74607,106866
2022-01-03,2309318,2160485,221727,446357
2022-01-04,2370532,2218573,224616,455950
2022-01-05,2484251,2329711,235145,459578
2022-01-06,2395931,2245517,226395,428306
2022-01-07,2417068,2270648,223874,437205
2022-01-08,1718628,1626893,130171,247946
2022-01-09,1004661,952704,72929,106921
2022-01-10,2248578,2113187,212181,382910
2022-01-11,2118122,2001694,195432,338196
2022-01-12,2233868,2098615,210150,374519
2022-01-13,2166009,2040581,204951,348202
2022-01-14,2125948,2009053,196317,337281
2022-01-15,1462361,1386659,112093,187011
2022-01-16,889388,845570,66025,76546
2022-01-17,2261403,2122092,216389,385542
2022-01-18,2215535,2076670,220233,388057
2022-01-19,2308608,2167976,228972,387374
2022-01-20,2315563,2177179,225751,374672
2022-01-21,2389700,2248595,231507,407402
2022-01-22,1591020,1501404,129899,221258
2022-01-23,1025147,973066,77819,98771
2022-01-24,2435772,2281862,237464,432757
2022-01-25,2328231,2176286,233578,431662
2022-01-26,2415839,2260028,243888,446315
2022-01-27,2572079,2404682,261051,470429
2022-01-28,2641037,2487011,241483,490760
2022-01-29,1925953,1811860,159658,303188
2022-01-30,1179299,1113055,92842,138938
2022-01-31,2561482,2389245,255883,486553
2022-02-01,2674360,2485394,287339,516602
2022-02-02,2677679,2493840,282464,510480
2022-02-03,2459696,2290348,272769,446533
2022-02-04,2861068,2675067,294881,536439
2022-02-05,1983578,1867127,169009,301384
2022-02-06,1234676,1161922,100627,149915
2022-02-07,2817703,2622334,296678,539180
2022-02-08,2890340,2679198,342557,581267
2022-02-09,2900559,2695787,310952,568399
2022-02-10,2910535,2704192,318125,559753
2022-02-11,2851940,2657225,308291,549679
2022-02-12,2097802,1971029,183390,326518
2022-02-13,1319797,1241482,109715,155811
2022-02-14,3004228,2792317,317198,584524
2022-02-15,2974144,2755992,340765,590614
2022-02-16,2941869,2742422,322572,479018
2022-02-17,3003123,2790013,331928,565110
2022-02-18,3095052,2880509,334942,595886
2022-02-19,2157024,2026977,186145,340945
2022-02-20,1059865,1001087,87447,119234
2022-02-21,3041514,2824765,323734,589012
2022-02-22,3080984,2859775,332657,587194
2022-02-23,3111980,2888638,342456,591517
2022-02-24,2761398,2561243,322869,512747
2022-02-25,3246465,3021025,353127,623319
2022-02-26,2036898,1912527,177220,320780
2022-02-27,1011182,950261,91095,109583
2022-02-28,1544302,1444271,133870,232312
2022-03-01,1557569,1457791,130380,237570
2022-03-02,3446277,3214546,344290,603647
2022-03-03,3494667,3254245,366979,609144
2022-03-04,3514186,3285846,364272,616865
2022-03-05,2179442,2049791,188822,338140
2022-03-06,1367333,1284813,117501,162184
2022-03-07,3435784,3204675,350903,591638
2022-03-08,3524010,3277098,433998,543399
2022-03-09,3119949,2897064,358191,546141
2022-03-10,3754886,3488975,430246,671498
2022-03-11,3770952,3522830,394713,666319
2022-03-12,2421401,2268369,220117,406655
2022-03-13,1460522,1369988,127427,182973
2022-03-14,3705220,3448037,397017,660070
2022-03-15,3735742,3456773,440855,678806
2022-03-16,3808333,3523117,463740,692245
2022-03-17,3787373,3506526,450774,678945
2022-03-18,3504010,3246651,421887,652693
2022-03-19,2464689,2302147,229756,428941
2022-03-20,1436220,1343919,127797,189328
2022-03-21,3745354,3479509,422604,680270
2022-03-22,3805790,3524475,445258,685935
2022-03-23,3913358,3627447,460119,707640
2022-03-24,1531626,1387930,228911,258882
2022-03-25,3580450,3325684,428442,659796
2022-03-26,2354317,2197253,225618,407064
2022-03-27,1455395,1364054,130339,179117
2022-03-28,3872621,3593437,438293,709710
2022-03-29,3633772,3440805,399417,337520
2022-03-30,3905752,3613260,483385,727189
2022-03-31,3918351,3608683,513033,737150
2022-04-01,3970356,3684201,485441,735200
2022-04-02,2145689,1993329,215650,343350
2022-04-03,1383722,1297500,122284,175796
2022-04-04,3926200,3637911,458049,722393
2022-04-05,4050025,3750720,477807,740879
2022-04-06,4060818,3756946,486527,749976
2022-04-07,3996360,3691014,493431,747758
2022-04-08,4098843,3800893,503220,767220
2022-04-09,2619675,2441378,264438,462772
2022-04-10,1517991,1420472,140659,185637
2022-04-11,3849017,3561800,461565,708433
2022-04-12,4065558,3760079,495443,752184
2022-04-13,4109534,3798388,519439,785000
2022-04-14,2521214,2344593,248021,503094
2022-04-15,1531216,1417028,155025,239725
2022-04-16,2204967,2053675,209514,388230
2022-04-17,1376447,1290244,121160,177320
2022-04-18,3899248,3613416,448673,717193
2022-04-19,4028249,3726068,482194,741348
2022-04-20,4027993,3731392,474643,728666
2022-04-21,4012471,3710262,483266,733689
2022-04-22,3859955,3581450,459338,714821
2022-04-23,2564202,2385409,254754,456603
2022-04-24,1495056,1401882,132339,181979
2022-04-25,3605122,3332993,438692,650540
2022-04-26,3879850,3590234,462656,704178
2022-04-27,3854701,3576012,479311,642016
2022-04-28,4007461,3715306,477877,733930
2022-04-29,4069175,3776862,481066,756598
2022-04-30,2496900,2326355,248732,442198
2022-05-01,1287767,1196339,135391,176034
2022-05-02,3915822,3624350,463105,722917
2022-05-03,3965058,3665636,478583,730153
2022-05-04,4037095,3736892,482569,739211
2022-05-05,4087221,3785786,489522,763076
2022-05-06,4141435,3848731,487689,775052
2022-05-07,2702191,2521145,274500,479503
2022-05-08,1601768,1503766,145292,192299
2022-05-09,4021700,3727349,469280,744021
2022-05-10,4051542,3753166,484754,739026
2022-05-11,4082336,3778182,495010,752485
2022-05-12,3969466,3659035,532797,762524
2022-05-13,4084427,3789101,490432,775499
2022-05-14,2603687,2437811,223288,465043
2022-05-15,1495352,1397043,145382,193248
2022-05-16,3815999,3532928,465008,709324
2022-05-17,3823649,3533568,484722,714423
2022-05-18,713501,666999,59514,89947
2022-05-19,4087728,3785458,500187,758408
2022-05-20,4101140,3812130,485641,770521
2022-05-21,2589147,2411260,253451,475426
2022-05-22,1474095,1382102,132148,184452
2022-05-23,4019248,3726975,463603,745745
2022-05-24,4012462,3714703,499140,758184
2022-05-25,1161948,1074485,131580,162112
2022-05-26,3995415,3695207,511857,754319
2022-05-27,4032988,3745470,482411,758019
2022-05-28,2438418,2281180,238353,413145
2022-05-29,1379935,1291948,133002,163574
2022-05-30,3841190,3549173,469612,712789
2022-05-31,3870950,3587936,474327,718815
2022-06-01,3863440,3572997,480230,706199
2022-06-02,3952309,3659684,493247,710464
2022-06-03,3991100,3727795,532459,508199
2022-06-04,2567265,2396794,253590,448918
2022-06-05,1401190,1329079,119879,100562
2022-06-06,3955446,3662026,475341,737491
2022-06-07,3988939,3690390,494148,735280
2022-06-08,4042278,3735210,510202,746970
2022-06-09,4002646,3690314,538489,765602
2022-06-10,4011464,3723518,496749,753969
2022-06-11,2542543,2370555,261223,429559
2022-06-12,1475749,1383244,137990,179148
2022-06-13,3991609,3697050,486152,740195
2022-06-14,4060731,3757836,500701,750945
2022-06-15,4114363,3810765,507099,742886
2022-06-16,4180026,3857719,577508,783235
2022-06-17,1977513,1831483,210973,319617
2022-06-18,2430630,2267247,238639,409818
2022-06-19,1405163,1319285,133627,167713
2022-06-20,1392887,1295638,139934,206728
2022-06-21,4014450,3710910,491212,746008
2022-06-22,3922796,3626582,486961,718858
2022-06-23,3931637,3629925,499621,726420
2022-06-24,3982636,3692923,494005,751641
2022-06-25,2502195,2338680,254483,407117
2022-06-26,1359141,1274328,129359,168641
2022-06-27,3603520,3333360,440635,681636
2022-06-28,3914671,3616391,484256,724550
2022-06-29,4019184,3717391,491866,733160
2022-06-30,4032998,3730077,497330,736787
2022-07-01,3921087,3634369,491003,732615
2022-07-02,2565665,2395918,265562,427605
2022-07-03,1472900,1380233,137958,172817
2022-07-04,3845058,3558605,461979,708455
2022-07-05,4022868,3725698,482018,728700
2022-07-06,3925678,3632177,486243,717945
2022-07-07,4031125,3730323,505396,737251
2022-07-08,4031290,3740380,494402,749210
2022-07-09,2083331,1919438,247716,328300
2022-07-10,1396320,1304758,137205,169447
2022-07-11,3776143,3492512,464382,689956
2022-07-12,3979616,3681769,489499,721706
2022-07-13,4020545,3719070,496331,729999
2022-07-14,3981926,3670801,540650,748055
2022-07-15,3896018,3610900,484863,720939
2022-07-16,2347548,2186312,255116,398801
2022-07-17,1512516,1409967,162893,179999
2022-07-18,3245549,2983022,432479,659341
2022-07-19,3275286,2991756,456679,684469
2022-07-20,3460579,3171630,470738,709133
2022-07-21,3275035,2996547,459219,687323
2022-07-22,3365316,3093125,454140,705534
2022-07-23,2301287,2142103,248958,401084
2022-07-24,1340367,1251540,139016,159913
2022-07-25,2712331,2488210,377483,553215
2022-07-26,3165826,2901920,434239,642083
2022-07-27,2958610,2712847,412428,594813
2022-07-28,3248162,2969903,488596,685188
2022-07-29,3401658,3134868,450640,710573
2022-07-30,2529480,2352787,272441,439525
2022-07-31,1571689,1471225,160519,186218
2022-08-01,3679028,3369819,442263,697785
2022-08-02,3673009,3356261,456089,693688
2022-08-03,3729076,3400811,469656,702534
2022-08-04,3737261,3413612,482209,704600
2022-08-05,3905798,3579159,485903,719782
2022-08-06,2453241,2239770,267421,447787
2022-08-07,1505140,1384720,167361,201414
2022-08-08,3831611,3502444,479927,734303
2022-08-09,3848786,3516877,493409,724572
2022-08-10,3716672,3361076,548467,766634
2022-08-11,3917829,3559279,531765,752479
2022-08-12,3896625,3554468,507860,753388
2022-08-13,2454335,2238926,270382,453200
2022-08-14,1554110,1416973,182521,210313
2022-08-15,1224175,1128687,131215,105447
2022-08-16,3966300,3620484,512079,748679
2022-08-17,3794092,3466050,512788,693040
2022-08-18,3932826,3604121,525195,655566
2022-08-19,3958616,3599578,528379,772610
2022-08-20,2426518,2221365,270427,375570
2022-08-21,1461372,1352757,144886,143672
2022-08-22,3661586,3500393,4766,694839
2022-08-23,3931229,3574250,516302,753182
2022-08-24,3893191,3588984,523450,442260
2022-08-25,3926437,3574591,517248,748139
2022-08-26,3928686,3573353,518583,774329
2022-08-27,2201478,1996798,255799,396232
2022-08-28,1375905,1264151,144141,177215
2022-08-29,3802592,3457548,499304,745202
2022-08-30,3883376,3527593,520678,755838
2022-08-31,3889352,3534973,517805,754046
2022-09-01,3806893,3493002,515070,725220
2022-09-02,2372971,2151706,337203,394093
2022-09-03,2603216,2414604,268644,460512
2022-09-04,1566368,1459935,156578,187486
2022-09-05,4071257,3749415,509190,766447
2022-09-06,4152482,3820236,534484,780208
2022-09-07,4153429,3822892,539042,775662
2022-09-08,4029133,3702058,547142,768189
2022-09-09,4053782,3743108,525741,768822
2022-09-10,2647439,2458046,278679,467560
2022-09-11,1509061,1408968,149890,186600
2022-09-12,4008247,3691390,507928,757890
2022-09-13,4032136,3701929,533069,775617
2022-09-14,4138421,3811953,538509,757964
2022-09-15,4149192,3816039,545452,776547
2022-09-16,4164176,3847035,526242,797419
2022-09-17,2639820,2448963,275709,478402
2022-09-18,1510666,1407826,149951,194770
2022-09-19,3978068,3666275,499109,744498
2022-09-20,4093433,3792264,504193,759291
2022-09-21,3660029,3361192,470059,717914
2022-09-22,4006698,3687984,532658,753594
2022-09-23,4107179,3796898,515339,785714
2022-09-24,2626315,2442802,264383,455471
2022-09-25,1538215,1442470,141127,178384
2022-09-26,3835669,3537695,469582,721787
2022-09-27,3865152,3545678,521367,756907
2022-09-28,4071623,3741258,547257,779783
2022-09-29,4031881,3707820,542920,770455
2022-09-30,4057726,3741715,524621,786209
2022-10-01,2610013,2423139,272445,466538
2022-10-02,1579187,1475241,160235,187903
2022-10-03,4025855,3708927,508319,763296
2022-10-04,4071191,3750339,520837,764248
2022-10-05,4154757,3835606,521440,779980
2022-10-06,4155837,3823916,553331,807622
2022-10-07,2212634,2057580,222537,366918
2022-10-08,2192305,2048669,200826,367122
2022-10-09,1568013,1465897,151307,208605
2022-10-10,1560577,1450717,148234,238807
2022-10-11,4120526,3803266,512020,773722
2022-10-12,4142025,3826125,522061,774812
2022-10-13,4127371,3808872,528563,762487
2022-10-14,4198206,3885722,523745,794827
2022-10-15,2486464,2319218,245202,435699
2022-10-16,1520572,1426430,141553,185408
2022-10-17,3937832,3627255,512311,741951
2022-10-18,4067676,3749792,521218,751263
2022-10-19,4078172,3758450,524726,762320
2022-10-20,4006146,3690241,520297,748247
2022-10-21,4131025,3824214,515152,783112
2022-10-22,2437112,2280691,218801,425552
2022-10-23,1541511,1441642,152864,196765
2022-10-24,4036450,3729511,495583,749654
2022-10-25,4109180,3788121,530740,763698
2022-10-26,3776709,3471702,510366,705672
2022-10-27,4081492,3754591,550533,777675
2022-10-28,4161671,3856234,536238,766215
2022-10-29,2598960,2421578,274653,454664
2022-10-30,1267351,1185834,128656,155591
2022-10-31,3973327,3663786,499170,751817
2022-11-01,4135773,3812117,534409,768400
2022-11-02,4177082,3850317,539076,779442
2022-11-03,4165809,3836574,549115,779785
2022-11-04,4255888,3945202,537014,804219
2022-11-05,2809286,2590702,353651,510639
2022-11-06,1633714,1533146,156319,195082
2022-11-07,4081746,3767573,514931,766517
2022-11-08,3856405,3673212,434362,193829
2022-11-09,4220922,3895513,536845,790200
2022-11-10,4163835,3830062,578424,793590
2022-11-11,4177275,3874008,521085,787767
2022-11-12,2660770,2478737,275525,471156
2022-11-13,1403962,1320929,135092,154579
2022-11-14,3806326,3519332,482699,697807
2022-11-15,4197595,3879180,533630,776114
2022-11-16,4111212,3808837,509733,745227
2022-11-17,4008866,3705254,535908,747321
2022-11-18,4143892,3857662,520649,748658
2022-11-19,2618929,2455111,261098,452334
2022-11-20,1368669,1291696,129969,143036
2022-11-21,1414559,1332455,133992,175829
2022-11-22,3738425,3447737,490467,695791
2022-11-23,4121110,3820693,500488,754538
2022-11-24,4049836,3741773,524654,743862
2022-11-25,4068004,3769566,516363,778422
2022-11-26,2358688,2208393,233323,373969
2022-11-27,1471556,1384302,136171,168914
2022-11-28,3880486,3591464,477326,717330
2022-11-29,3923853,3649803,465790,725604
2022-11-30,3511125,3245050,437479,639058
2022-12-01,3827793,3537747,495877,705056
2022-12-02,4067026,3766132,535802,789041
2022-12-03,2450426,2282326,258676,406752
2022-12-04,1520791,1433742,141325,169983
2022-12-05,3797773,3530134,448227,693386
2022-12-06,3782214,3488367,515610,727584
2022-12-07,3928904,3635371,527296,749977
2022-12-08,1941525,1833712,187269,226880
2022-12-09,1569945,1475064,157127,185228
2022-12-10,2337548,2196217,226351,366475
2022-12-11,1384188,1310880,125298,140717
2022-12-12,3803016,3528725,481440,685296
2022-12-13,3428018,3163280,446265,594840
2022-12-14,3819280,3531694,490780,713719
2022-12-15,3823186,3532184,505864,721921
2022-12-16,3985148,3678732,542115,771395
2022-12-17,2770271,2591833,284984,462364
2022-12-18,679895,581026,88677,92203
2022-12-19,3400269,3141916,427553,629487
2022-12-20,1835480,1698440,145911,270149
2022-12-21,3912397,3611783,521584,748872
2022-12-22,3887898,3582265,544542,769376
2022-12-23,3442491,3202455,400712,676927
2022-12-24,1899674,1787234,151850,268232
2022-12-25,779321,728818,67342,83746
2022-12-26,3074452,2833182,381116,633973
2022-12-27,3268407,3012725,415875,663279
2022-12-28,3287648,3031985,418568,669988
2022-12-29,3260125,3015211,407751,652632
